RMS_X,RMS_Y,RMS_Z,Band_Power_Z_Low,Band_Power_Z_Mid,Band_Power_Z_High,label
0.011509733,0.011119141,0.06704925,4.12E-07,1.75E-06,0.000727815,healthy
0.011253417,0.011147506,0.067799542,1.97E-07,9.85E-07,0.000731528,healthy
0.011563793,0.01112451,0.067777448,5.69E-07,2.39E-06,0.000738502,healthy
0.011459073,0.011398937,0.068282615,3.23E-07,1.09E-06,0.000751355,healthy
0.011367189,0.011363116,0.069075916,3.60E-07,9.22E-07,0.00077111,healthy
0.01150412,0.01123091,0.068364603,5.25E-07,1.83E-06,0.00076249,healthy
0.011501505,0.010997431,0.068476142,3.04E-07,1.24E-06,0.000761184,healthy
0.011656273,0.010926889,0.068732359,4.14E-07,1.14E-06,0.000780288,healthy
0.011866606,0.011102201,0.070089083,1.17E-06,4.05E-06,0.000800242,healthy
0.011997594,0.01126268,0.070485646,3.13E-07,1.54E-06,0.000832039,healthy
0.012180361,0.011456019,0.073116732,3.93E-07,1.08E-06,0.000884465,healthy
0.012231871,0.011319778,0.076144886,4.91E-07,1.29E-06,0.0009775,healthy
0.012334596,0.011172767,0.077980949,5.46E-07,2.87E-06,0.001023305,healthy
0.012402547,0.011212945,0.078395271,4.04E-07,3.08E-06,0.001060032,healthy
0.012076655,0.01134728,0.076372321,5.12E-07,2.32E-06,0.000992144,healthy
0.011614003,0.010882481,0.072996983,4.07E-07,1.39E-06,0.000883005,healthy
0.011395359,0.010936088,0.071102859,1.27E-06,3.63E-06,0.000804647,healthy
0.01164967,0.011182198,0.070264989,3.15E-07,1.10E-06,0.000795606,healthy
0.011869614,0.010934532,0.070167479,3.56E-07,1.24E-06,0.000813673,healthy
0.011454446,0.010949496,0.07046139,4.17E-07,8.71E-07,0.000821896,healthy
0.011329316,0.010910279,0.070146962,1.78E-07,1.05E-06,0.000803593,healthy
0.011545362,0.011087039,0.070970688,4.09E-07,8.45E-07,0.000834199,healthy
0.011575214,0.011130114,0.071832874,3.56E-07,7.35E-07,0.000862741,healthy
0.011816538,0.01094238,0.071753629,8.37E-07,1.54E-06,0.000860423,healthy
0.011996485,0.011014028,0.073025376,2.65E-07,6.26E-07,0.000890864,healthy
0.011844151,0.011367406,0.074347399,5.60E-07,9.70E-07,0.00093438,healthy
0.011867888,0.011376465,0.074789059,2.75E-07,2.61E-06,0.000941217,healthy
0.012050626,0.011104067,0.074258782,6.44E-07,3.75E-06,0.000905201,healthy
0.012015198,0.010982921,0.073998857,4.35E-07,2.08E-06,0.000938028,healthy
0.012096862,0.011042441,0.074037715,3.63E-07,2.17E-06,0.00092709,healthy
0.011838781,0.010999012,0.07392869,4.63E-07,1.70E-06,0.000926841,healthy
0.011656273,0.011263012,0.074499433,5.37E-07,2.06E-06,0.000911377,healthy
0.012136681,0.011515943,0.074612334,4.85E-07,9.44E-07,0.00092404,healthy
0.012465632,0.011327095,0.075703994,5.53E-07,2.41E-06,0.00096595,healthy
0.012389311,0.01131216,0.07669277,1.06E-06,7.16E-06,0.000973441,healthy
0.012190907,0.011042605,0.076370966,4.38E-07,2.56E-06,0.000984846,healthy
0.012197729,0.011322741,0.076615769,3.94E-07,1.91E-06,0.000981932,healthy
0.012305841,0.01141339,0.076672313,3.10E-07,2.34E-06,0.000982575,healthy
0.012078228,0.01135892,0.076719235,4.62E-07,2.46E-06,0.000990031,healthy
0.012109628,0.0113346,0.077358886,1.42E-06,8.43E-06,0.000990447,healthy
0.012120594,0.011292238,0.07653791,3.87E-07,1.69E-06,0.001001587,healthy
0.011998139,0.011166773,0.076209319,3.27E-07,2.92E-06,0.000971761,healthy
0.01172185,0.011140261,0.074804899,2.77E-07,3.40E-06,0.000943843,healthy
